title,medium,year,critic_score,genres,artist
Parader,music,,82,,Keaton Henson
Cabin In The Sky,music,,81,,De La Soul
Balloon Balloon Balloon,music,,84,,Sharp Pins
Bang,music,,80,,Iona Zajac
England Screaming,music,,85,,Wreckless Eric
Changes In Air,music,,78,,Kara-Lis Coverdale
Implosion,music,,83,,The Bug vs Ghost Dubs
Woman Of Faces,music,,78,,Celeste
EUSEXUA Afterglow,music,,77,,FKA twigs
EVERYONE'S A STAR!,music,,77,,5 Seconds of Summer
Vesper Sparrow,music,,84,,JJJJJerome Ellis
The Parlour,music,,84,,Picture Parlour
Chin Up Buttercup,music,,82,,Austra
Watch It Die,music,,73,,Home Front
Finally Over It,music,,75,,Summer Walker
AVTT/PTTN,music,,72,,AVTT/PTTN
Rebuilding (Original Motion Picture Soundtrack),music,,81,,Jake Xerxes Fussell & James Elkington
The Sherlock Holmes Rhythm 'n' Beat Vernacular,music,,77,,Thee Headcoats
Man-Trap,music,,82,,Thee Headcoatees
Holy Island,music,,74,,Sister Ray Davies
Black And Blue [Super Deluxe] [Box Set],music,,82,,The Rolling Stones
All Washed Up,music,,77,,Cheap Trick
Super Mario Odyssey,game,,97,"Adventure, Platformer",
Baldur's Gate 3,game,,96,"Adventure, RPG",
The Legend of Zelda: Breath of the Wild,game,,96,"Adventure, Action",
Red Dead Redemption 2,game,,95,"Adventure, Third-Person Shooter",
The Legend of Zelda: Tears of the Kingdom,game,,95,"Action, Adventure",
Grand Theft Auto IV,game,,95,"Action, Adventure",
Elden Ring,game,,95,"Action, RPG",
Astro Bot,game,,95,Platformer,
Hades II,game,,94,"Action, RPG, Roguelike",
The Legend of Zelda: Tears of the Kingdom Nintendo Switch 2 Edition,game,,94,,
The Last of Us Remastered,game,,94,Adventure,
God of War,game,,94,"Action, RPG",
Persona 5 Royal,game,,94,RPG,
Metroid Prime Remastered,game,,94,"Action, First-Person Shooter",
Persona 5,game,,94,RPG,
Hades,game,,94,"Adventure, RPG, Action",
Elden Ring: Shadow of the Erdtree,game,,94,"Action, RPG",
Divinity: Original Sin 2,game,,93,"RPG, Turn-Based Strategy",
Journey,game,,93,"Art, Adventure",
The House in Fata Morgana,game,,93,"Interactive Story, Adventure",
NieR: Automata Become as Gods Edition,game,,92,,
Mario Kart 8 Deluxe,game,,92,Racing,
Divinity: Original Sin 2 - Definitive Edition,game,,92,RPG,
Celeste,game,,92,"Platformer, Action, Adventure",
The Séance of Blake Manor,game,,91,,
Street Fighter 6,game,,91,"Action, Fighting",
Donkey Kong Bananza,game,,91,,
NieR: Automata Game of the YoRHa Edition,game,,91,"Action, RPG",
Pizza Tower,game,,91,"Platformer, Adventure",
Caves of Qud,game,,91,,
Asgard's Wrath 2,game,,91,"Action, Adventure",
Inside,game,,91,"Puzzle, Adventure, Platformer",
Hollow Knight: Silksong,game,,91,"Action, Platformer",
Bloodborne,game,,91,Action,
Destiny 2: The Final Shape,game,,91,"Action, First-Person Shooter",
Satisfactory,game,,91,,
Forza Horizon 3,game,,91,"Simulation, Racing",
Dota 2,game,,91,"Action, Real-Time Strategy",
Bayonetta 2,game,,91,Action,
Split Fiction,game,,91,,
Castlevania Dominus Collection,game,,90,"RPG, Action",
Jimmy and the Pulsating Mass,game,,90,RPG,
Death Stranding 2: On the Beach,game,,90,,
Tetris Effect,game,,90,"Strategy, Puzzle",
Blue Prince,game,,90,,
Dave the Diver,game,,90,"RPG, Roguelike",
Mark of the Ninja: Remastered,game,,90,"Action, Platformer",
Hollow Knight,game,,89,"Action, Adventure, Platformer",
Super Mario 3D World + Bowser's Fury,game,,89,Platformer,
Paradigm,game,,89,Adventure,
Monster Hunter Wilds,game,,89,,
Return of the Obra Dinn,game,,89,"Art, Puzzle",
Nier: Automata,game,,89,"Action, RPG",
Path of the Midnight Sun,game,,89,"Turn-Based Strategy, RPG, Adventure",
The Talos Principle 2: Road to Elysium,game,,89,"Adventure, Puzzle",
Horizon Zero Dawn,game,,89,"Action, Adventure, RPG",
Diablo III: Ultimate Evil Edition,game,,89,RPG,
Neon White,game,,89,Action,
Cobalt Core,game,,89,"Puzzle, Strategy, Turn-Based Strategy, RPG",
Disco Elysium: The Final Cut,game,,89,RPG,
Tales from the Borderlands: Episode Five - The Vault of the Traveler,game,,89,Interactive Story,
DUSK,game,,89,"Action, First-Person Shooter",
Alan Wake 2,game,,89,"Horror, Survival, Adventure, Action",
Freshly Frosted,game,,89,"Puzzle, Simulation, Strategy, Arcade",
Dead Cells,game,,89,,
Shovel Knight: Treasure Trove,game,,89,"Action, Platformer",
Bayonetta 1+2,game,,89,"Action, RPG",
Xenoblade Chronicles: Definitive Edition,game,,89,RPG,
Guacamelee! Super Turbo Championship Edition,game,,89,Platformer,
Cyberpunk 2077: Phantom Liberty,game,,89,"Action, Adventure, RPG, First-Person Shooter",
Astro Bot Rescue Mission,game,,89,,
Mission: It's Complicated,game,,89,Interactive Story,
Swarm,game,,89,"Action, First-Person Shooter",
Warstride Challenges,game,,89,"Action, First-Person Shooter",
Spiritfall,game,,89,"Platformer, Adventure, Action",
Horizon Forbidden West Complete Edition,game,,89,"Action, Adventure",
Pillars of Eternity II: Deadfire,game,,89,RPG,
Shin Megami Tensei V: Vengeance,game,,89,"Action, Adventure",
Hi-Fi Rush,game,,89,Action,
Mortal Kombat 11 Ultimate,game,,89,"Action, Fighting",
